cyclone_id,cyclone_num,station_id,time,day_rain
194904,4900,59293,1949/7/10,14
194906,4900,54342,1949/7/25,85
194906,4900,54342,1949/7/26,1
194906,4900,54471,1949/7/25,11
194906,4900,54471,1949/7/26,38
194906,4900,54471,1949/7/27,4
194906,4900,54497,1949/7/25,1
194906,4900,54497,1949/7/26,67
194906,4900,54497,1949/7/27,88
194906,4900,54823,1949/7/24,23
194906,4900,54823,1949/7/26,5
194906,4900,58238,1949/7/25,6
194906,4900,58238,1949/7/26,1
194906,4900,58238,1949/7/27,6
194908,4900,58847,1949/7/27,6
194908,4900,58847,1949/7/28,13
194908,4900,59293,1949/7/26,7
194908,4900,59293,1949/7/28,15
194911,4900,59117,1949/8/6,38
194911,4900,59117,1949/8/7,20
194911,4900,59117,1949/8/9,17
194911,4900,59293,1949/8/6,20
194911,4900,59293,1949/8/7,2
194911,4900,59293,1949/8/8,1
194911,4900,59293,1949/8/9,2
194913,4900,58238,1949/8/9,22
194913,4900,58847,1949/8/8,24
194913,4900,59134,1949/8/8,20
194913,4900,59134,1949/8/9,52
194919,4900,59023,1949/9/8,12
194919,4900,59023,1949/9/9,42
194919,4900,59117,1949/9/7,3
194919,4900,59117,1949/9/8,11
194919,4900,59117,1949/9/9,3
194919,4900,59134,1949/9/7,27
194919,4900,59211,1949/9/9,26
194919,4900,59293,1949/9/7,1
194919,4900,59293,1949/9/8,13
194919,4900,59293,1949/9/9,5
194919,4900,59431,1949/9/8,3
194919,4900,59431,1949/9/9,56
194920,4900,58847,1949/9/14,26
194920,4900,59117,1949/9/14,7
194920,4900,59117,1949/9/15,30
194920,4900,59134,1949/9/14,22
194920,4900,59293,1949/9/14,28
194920,4900,59293,1949/9/15,48
194922,4900,59211,1949/9/19,3
194922,4900,59211,1949/9/22,15
194922,4900,59265,1949/9/19,1
194922,4900,59265,1949/9/20,5
194922,4900,59265,1949/9/21,21
194922,4900,59265,1949/9/22,1
194922,4900,59431,1949/9/19,1
194922,4900,59431,1949/9/21,7
194922,4900,59431,1949/9/22,33
194924,4900,58847,1949/9/29,2
194924,4900,58847,1949/9/30,1
194924,4900,58847,1949/10/1,20
194924,4900,59117,1949/9/29,16
194925,4900,58606,1949/10/3,2
194925,4900,58606,1949/10/4,7
194925,4900,58606,1949/10/5,2
194925,4900,58847,1949/10/3,2
194925,4900,58847,1949/10/4,70
194925,4900,58847,1949/10/5,10
194925,4900,59117,1949/10/4,14
194925,4900,59134,1949/10/4,95
194925,4900,59134,1949/10/5,2
195003,5000,59134,1950/6/7,12
195003,5000,59293,1950/6/6,32
195005,5000,59293,1950/7/9,11
195007,5000,58457,1950/7/20,22
195009,5000,58847,1950/7/23,5
195009,5000,58847,1950/7/24,13
195010,5000,54423,1950/8/2,97
195010,5000,54511,1950/8/2,80
195010,5000,54618,1950/8/2,23
195010,5000,54823,1950/8/1,3
195010,5000,54823,1950/8/2,29
195010,5000,54843,1950/8/1,28
195010,5000,54843,1950/8/2,17
195010,5000,58027,1950/8/1,24
195010,5000,58457,1950/7/25,17
195010,5000,58457,1950/7/30,1
195010,5000,58457,1950/7/31,5
195010,5000,58457,1950/8/1,10
195010,5000,58847,1950/7/25,10
195010,5000,59134,1950/7/25,11
195012,5000,59117,1950/7/26,9
195012,5000,59117,1950/7/27,8
195012,5000,59117,1950/7/28,52
195012,5000,59134,1950/7/26,14
195012,5000,59134,1950/7/27,6
195012,5000,59265,1950/7/27,7
195012,5000,59265,1950/7/28,19
195012,5000,59293,1950/7/26,18
195012,5000,59293,1950/7/27,4
195012,5000,59293,1950/7/28,31
195012,5000,59431,1950/7/27,19
195012,5000,59431,1950/7/28,13
195030,5000,59134,1950/10/4,10
195030,5000,59134,1950/10/5,4
195031,5000,59117,1950/9/28,74
195031,5000,59293,1950/9/27,14
195031,5000,59293,1950/9/28,9
195032,5000,59293,1950/10/13,5
195032,5000,59293,1950/10/14,8
195040,5000,57993,1950/11/24,27
195040,5000,58847,1950/11/24,54
195040,5000,59117,1950/11/23,61
195040,5000,59117,1950/11/24,79
195040,5000,59134,1950/11/24,37
195040,5000,59293,1950/11/23,2
195040,5000,59293,1950/11/24,66
195105,5100,57799,1951/5/14,19
195105,5100,57993,1951/5/13,3
195105,5100,57993,1951/5/14,16
195105,5100,58847,1951/5/13,11
195105,5100,58847,1951/5/14,6
195105,5100,59117,1951/5/12,2
195105,5100,59117,1951/5/13,38
195105,5100,59134,1951/5/13,55
195105,5100,59287,1951/5/12,2
195105,5100,59287,1951/5/13,11
195105,5100,59293,1951/5/12,8
195105,5100,59293,1951/5/13,46
195105,5100,59316,1951/5/12,7
195105,5100,59316,1951/5/13,92
195105,5100,59316,1951/5/14,8
195106,5100,57957,1951/6/21,19
195106,5100,59082,1951/6/18,33
195106,5100,59082,1951/6/19,2
195106,5100,59082,1951/6/21,15
195106,5100,59211,1951/6/19,8
195106,5100,59211,1951/6/20,3
195106,5100,59211,1951/6/21,12
195106,5100,59211,1951/6/22,29
195106,5100,59265,1951/6/18,3
195106,5100,59265,1951/6/19,4
195106,5100,59265,1951/6/20,8
195106,5100,59265,1951/6/21,1
195106,5100,59287,1951/6/18,9
195106,5100,59287,1951/6/19,1
195106,5100,59287,1951/6/20,7
195106,5100,59287,1951/6/21,17
195106,5100,59293,1951/6/18,36
195106,5100,59293,1951/6/19,1
195106,5100,59293,1951/6/20,1
195106,5100,59293,1951/6/21,20
195106,5100,59316,1951/6/18,32
195106,5100,59431,1951/6/19,9
195106,5100,59431,1951/6/20,12
195106,5100,59431,1951/6/21,21
