"id","station_id","station_name","lat","long","altitude_sensor","altitude_site"
"156","58472","SHENGSI","30 44 00N","122 27 00E","81","999998"
"157","58477","DINGHAI","30 02 00N","122 07 00E","37","999998"
"158","58527","JINGDEZHEN","29 18 00N","117 12 00E","60","999998"
"159","58606","NANCHANG","28 36 00N","115 55 00E","50","999998"
"160","58666","DACHEN DAO","28 27 00N","121 53 00E","84","999998"
"161","58725","SHAOWU","27 20 00N","117 28 00E","219","999998"
"162","58752","RUIAN","27 47 00N","120 39 00E","38","999998"
"163","58847","FUZHOU","26 05 00N","119 17 00E","85","999998"
"164","58968","TAIBEI","25 02 00N","121 31 00E","9","999998"
"165","58974","PENGJIA YU","25 38 00N","122 04 00E","102","999998"
"166","59007","GUANGNAN","24 04 00N","105 04 00E","1251","999998"
"167","59023","HECHI","24 42 00N","108 02 00E","261","999998"
"168","59082","SHAOGUAN","24 40 00N","113 36 00E","122","999998"
"169","59117","MEI XIAN","24 17 00N","116 04 00E","117","999998"
"170","59134","XIAMEN","24 29 00N","118 05 00E","139","139"
"171","59211","BAISE","23 54 00N","106 36 00E","177","999998"
"172","59265","WUZHOU","23 29 00N","111 18 00E","120","999998"
"173","59287","GUANGZHOU","23 13 00N","113 29 00E","71","999998"
"174","59293","HEYUAN","23 48 00N","114 44 00E","61","999998"
"175","59316","SHANTOU","23 24 00N","116 41 00E","3","999998"
"176","59358","TAINAN","23 00 00N","120 13 00E","14","999998"
"177","59431","NANNING","22 38 00N","108 13 00E","126","999998"
"178","59501","SHANWEI","22 47 00N","115 22 00E","18","999998"
"179","59559","HENGCHUN","22 00 00N","120 45 00E","24","999998"
"180","59644","BEIHAI","21 29 00N","109 06 00E","16","999998"
"181","59663","YANGJIANG","21 50 00N","111 58 00E","91","999998"
"182","59758","HAIKOU","20 00 00N","110 15 00E","64","999998"
"183","59838","DONGFANG","19 06 00N","108 37 00E","8","999998"
